,VehicleID,Count,Volume,TravelDistance,WorkTime,TravelTime,ServiceTime,WaitingTime,TotalCost,FixedCost,VariableCost
0,VEH_42,11,265.610205529,168.9629381197189,1139.7846296784853,479.7846296784855,660,0,554.1332886154942,250,304.1332886154941
1,VEH_22,12,304.119008239,910.6748227100325,2112.0306430628043,1392.030643062804,720,0,1242.8097872520389,150,1092.8097872520389
2,VEH_2,20,380.252725797,2615.387013550104,3820.1515872949262,2620.151587294927,1200,0,2172.309610840083,80,2092.309610840083
3,VEH_12,11,278.44070322000005,663.0559585210754,2066.7357609220617,1406.735760922062,660,0,773.0559585210754,110,663.0559585210754
4,VEH_3,20,347.014693535,3558.050538189341,4759.900569925116,3559.9005699251156,1200,0,2926.440430551472,80,2846.440430551473
5,VEH_4,25,461.64111226999995,4807.2814877569845,5658.218225214969,4158.2182252149705,1500,0,3925.8251902055877,80,3845.8251902055877
6,VEH_5,18,342.457112523,3462.880151936147,4529.6055892538125,3449.6055892538134,1080,0,2850.3041215489175,80,2770.304121548917
7,VEH_72,14,417.11894503999997,1928.2732205595253,2574.6115450378206,1734.6115450378206,840,0,2463.92786467143,150,2313.9278646714306
8,VEH_73,17,595.0666283699999,2701.9744344849328,3761.0676543357317,2741.0676543357313,1020,0,3392.369321381919,150,3242.369321381919
9,VEH_94,9,229.65456576999998,255.6046894994282,1164.119513418987,624.119513418987,540,0,710.0884410989709,250,460.08844109897075
10,VEH_82,15,402.5450849,585.3287853677782,2315.4980172376836,1415.4980172376836,900,0,1077.9931780516674,200,877.9931780516674
11,VEH_52,23,415.566145824,2790.0214353166607,4468.864773574516,3088.8647735745158,1380,0,2312.0171482533287,80,2232.0171482533287
12,VEH_53,29,527.322408727,4941.125322581779,5866.806855401194,4126.806855401195,1740,0,4032.9002580654233,80,3952.9002580654233
13,VEH_54,17,341.02419752,2894.826548219569,3696.3610765951303,2676.3610765951303,1020,0,2395.861238575655,80,2315.8612385756555
14,VEH_55,15,273.21368781999996,2827.0680241160353,3151.347479377492,2251.3474793774917,900,0,2341.654419292828,80,2261.654419292828
15,VEH_107,14,393.85235471,1709.1824429312833,2887.4740403988,2047.474040398799,840,0,1819.1824429312837,110,1709.1824429312833
16,VEH_127,23,431.73312216200003,3398.89264530885,4883.6888883343145,3503.688888334314,1380,0,2799.11411624708,80,2719.11411624708
17,VEH_128,7,133.71570114,1676.3829956215773,1820.6306992883508,1400.6306992883508,420,0,1421.1063964972618,80,1341.1063964972618
